    # Energy          Ge           H
   -21.24059     0.00000     0.00000
   -21.22759     0.00000     0.00000
   -21.21559     0.00000     0.00000
   -21.20259     0.00000     0.00000
   -21.18959     0.00000     0.00000
   -21.17759     0.00000     0.00000
   -21.16459     0.00000     0.00000
   -21.15259     0.00000     0.00000
   -21.13959     0.00000     0.00000
   -21.12659     0.00000     0.00000
   -21.11459     0.00000     0.00000
   -21.10159     0.00000     0.00000
   -21.08959     0.00000     0.00000
   -21.07659     0.00000     0.00000
   -21.06459     0.00000     0.00000
   -21.05159     0.00000     0.00000
   -21.03859     0.00000     0.00000
   -21.02659     0.00000     0.00000
   -21.01359     0.00000     0.00000
   -21.00159     0.00000     0.00000
   -20.98859     0.00000     0.00000
   -20.97559     0.00000     0.00000
   -20.96359     0.00000     0.00000
   -20.95059     0.00000     0.00000
   -20.93859     0.00000     0.00000
   -20.92559     0.00000     0.00000
   -20.91359     0.00000     0.00000
   -20.90059     0.00000     0.00000
   -20.88759     0.00000     0.00000
   -20.87559     0.00000     0.00000
   -20.86259     0.00000     0.00000
   -20.85059     0.00000     0.00000
   -20.83759     0.00000     0.00000
   -20.82459     0.00000     0.00000
   -20.81259     0.00000     0.00000
   -20.79959     0.00000     0.00000
   -20.78759     0.00000     0.00000
   -20.77459     0.00000     0.00000
   -20.76259     0.00000     0.00000
   -20.74959     0.00000     0.00000
   -20.73659     0.00000     0.00000
   -20.72459     0.00000     0.00000
   -20.71159     0.00000     0.00000
   -20.69959     0.00000     0.00000
   -20.68659     0.00000     0.00000
   -20.67359     0.00000     0.00000
   -20.66159     0.00000     0.00000
   -20.64859     0.00000     0.00000
   -20.63659     0.00000     0.00000
   -20.62359     0.00000     0.00000
   -20.61159     0.00000     0.00000
   -20.59859     0.00000     0.00000
   -20.58559     0.00000     0.00000
   -20.57359     0.00000     0.00000
   -20.56059     0.00000     0.00000
   -20.54859     0.00000     0.00000
   -20.53559     0.00000     0.00000
   -20.52359     0.00000     0.00000
   -20.51059     0.00000     0.00000
   -20.49759     0.00000     0.00000
   -20.48559     0.00000     0.00000
   -20.47259     0.00000     0.00000
   -20.46059     0.00000     0.00000
   -20.44759     0.00000     0.00000
   -20.43459     0.00000     0.00000
   -20.42259     0.00000     0.00000
   -20.40959     0.00000     0.00000
   -20.39759     0.00000     0.00000
   -20.38459     0.00000     0.00000
   -20.37259     0.00000     0.00000
   -20.35959     0.00000     0.00000
   -20.34659     0.00000     0.00000
   -20.33459     0.00000     0.00000
   -20.32159     0.00000     0.00000
   -20.30959     0.00000     0.00000
   -20.29659     0.00000     0.00000
   -20.28359     0.00000     0.00000
   -20.27159     0.00000     0.00000
   -20.25859     0.00000     0.00000
   -20.24659     0.00000     0.00000
   -20.23359     0.00000     0.00000
   -20.22159     0.00000     0.00000
   -20.20859     0.00000     0.00000
   -20.19559     0.00000     0.00000
   -20.18359     0.00000     0.00000
