# E_raw(eV)  DOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-2.860200000000000031e+01 3.272000000000000178e-10 -2.807259340999999964e+01 -3.351633997477950544e+01 -3.276345695176216566e+01 -2.364386819937089612e+01
-2.858899999999999864e+01 3.886000000000000022e-09 -2.805959340999999796e+01 -3.350333997477950732e+01 -3.275045695176216753e+01 -2.363086819937089444e+01
-2.857600000000000051e+01 4.080000000000000138e-08 -2.804659340999999984e+01 -3.349033997477950919e+01 -3.273745695176216941e+01 -2.361786819937089632e+01
-2.856400000000000006e+01 3.788999999999999849e-07 -2.803459340999999938e+01 -3.347833997477950874e+01 -3.272545695176216896e+01 -2.360586819937089587e+01
-2.855099999999999838e+01 3.110999999999999945e-06 -2.802159340999999770e+01 -3.346533997477950351e+01 -3.271245695176216373e+01 -2.359286819937089419e+01
-2.853900000000000148e+01 2.260999999999999867e-05 -2.800959341000000080e+01 -3.345333997477951016e+01 -3.270045695176217038e+01 -2.358086819937089729e+01
-2.852599999999999980e+01 1.453000000000000081e-04 -2.799659340999999912e+01 -3.344033997477950493e+01 -3.268745695176216515e+01 -2.356786819937089561e+01
-2.851300000000000168e+01 8.270999999999999923e-04 -2.798359341000000100e+01 -3.342733997477950680e+01 -3.267445695176216702e+01 -2.355486819937089749e+01
-2.850100000000000122e+01 4.167999999999999830e-03 -2.797159341000000055e+01 -3.341533997477950635e+01 -3.266245695176216657e+01 -2.354286819937089703e+01
-2.848799999999999955e+01 1.861000000000000154e-02 -2.795859340999999887e+01 -3.340233997477950822e+01 -3.264945695176216844e+01 -2.352986819937089535e+01
-2.847599999999999909e+01 7.364999999999999325e-02 -2.794659340999999841e+01 -3.339033997477950777e+01 -3.263745695176216799e+01 -2.351786819937089490e+01
-2.846300000000000097e+01 2.585000000000000075e-01 -2.793359341000000029e+01 -3.337733997477950965e+01 -3.262445695176216987e+01 -2.350486819937089678e+01
-2.845100000000000051e+01 8.056999999999999718e-01 -2.792159340999999984e+01 -3.336533997477950919e+01 -3.261245695176216941e+01 -2.349286819937089632e+01
-2.843799999999999883e+01 2.232000000000000206e+00 -2.790859340999999816e+01 -3.335233997477950396e+01 -3.259945695176216418e+01 -2.347986819937089464e+01
-2.842500000000000071e+01 5.501999999999999780e+00 -2.789559341000000003e+01 -3.333933997477950584e+01 -3.258645695176216606e+01 -2.346686819937089652e+01
-2.841300000000000026e+01 1.209999999999999964e+01 -2.788359340999999958e+01 -3.332733997477950538e+01 -3.257445695176216560e+01 -2.345486819937089606e+01
-2.839999999999999858e+01 2.378000000000000114e+01 -2.787059340999999790e+01 -3.331433997477950726e+01 -3.256145695176216748e+01 -2.344186819937089439e+01
-2.838800000000000168e+01 4.189000000000000057e+01 -2.785859341000000100e+01 -3.330233997477950680e+01 -3.254945695176216702e+01 -2.342986819937089749e+01
-2.837500000000000000e+01 6.640999999999999659e+01 -2.784559340999999932e+01 -3.328933997477950868e+01 -3.253645695176216890e+01 -2.341686819937089581e+01
-2.836199999999999832e+01 9.515000000000000568e+01 -2.783259340999999765e+01 -3.327633997477950345e+01 -3.252345695176216367e+01 -2.340386819937089413e+01
-2.835000000000000142e+01 1.237999999999999972e+02 -2.782059341000000074e+01 -3.326433997477951010e+01 -3.251145695176217032e+01 -2.339186819937089723e+01
-2.833699999999999974e+01 1.474000000000000057e+02 -2.780759340999999907e+01 -3.325133997477950487e+01 -3.249845695176216509e+01 -2.337886819937089555e+01
-2.832499999999999929e+01 1.619000000000000057e+02 -2.779559340999999861e+01 -3.323933997477950442e+01 -3.248645695176216464e+01 -2.336686819937089510e+01
-2.831200000000000117e+01 1.661999999999999886e+02 -2.778259341000000049e+01 -3.322633997477950629e+01 -3.247345695176216651e+01 -2.335386819937089697e+01
-2.830000000000000071e+01 1.630999999999999943e+02 -2.777059341000000003e+01 -3.321433997477950584e+01 -3.246145695176216606e+01 -2.334186819937089652e+01
-2.828699999999999903e+01 1.583000000000000114e+02 -2.775759340999999836e+01 -3.320133997477950771e+01 -3.244845695176216793e+01 -2.332886819937089484e+01
-2.827400000000000091e+01 1.584000000000000057e+02 -2.774459341000000023e+01 -3.318833997477950959e+01 -3.243545695176216981e+01 -2.331586819937089672e+01
-2.826200000000000045e+01 1.685000000000000000e+02 -2.773259340999999978e+01 -3.317633997477950913e+01 -3.242345695176216935e+01 -2.330386819937089626e+01
-2.824899999999999878e+01 1.900999999999999943e+02 -2.771959340999999810e+01 -3.316333997477950390e+01 -3.241045695176216412e+01 -2.329086819937089459e+01
-2.823699999999999832e+01 2.209000000000000057e+02 -2.770759340999999765e+01 -3.315133997477950345e+01 -3.239845695176216367e+01 -2.327886819937089413e+01
-2.822400000000000020e+01 2.558000000000000114e+02 -2.769459340999999952e+01 -3.313833997477950533e+01 -3.238545695176216555e+01 -2.326586819937089601e+01
-2.821199999999999974e+01 2.888999999999999773e+02 -2.768259340999999907e+01 -3.312633997477950487e+01 -3.237345695176216509e+01 -2.325386819937089555e+01
-2.819900000000000162e+01 3.158000000000000114e+02 -2.766959341000000094e+01 -3.311333997477950675e+01 -3.236045695176216697e+01 -2.324086819937089743e+01
-2.818599999999999994e+01 3.343000000000000114e+02 -2.765659340999999927e+01 -3.310033997477950862e+01 -3.234745695176216884e+01 -2.322786819937089575e+01
-2.817399999999999949e+01 3.450000000000000000e+02 -2.764459340999999881e+01 -3.308833997477950817e+01 -3.233545695176216839e+01 -2.321586819937089530e+01
-2.816100000000000136e+01 3.510000000000000000e+02 -2.763159341000000069e+01 -3.307533997477951004e+01 -3.232245695176217026e+01 -2.320286819937089717e+01
-2.814900000000000091e+01 3.566999999999999886e+02 -2.761959341000000023e+01 -3.306333997477950959e+01 -3.231045695176216981e+01 -2.319086819937089672e+01
-2.813599999999999923e+01 3.656999999999999886e+02 -2.760659340999999856e+01 -3.305033997477950436e+01 -3.229745695176216458e+01 -2.317786819937089504e+01
-2.812300000000000111e+01 3.795000000000000000e+02 -2.759359341000000043e+01 -3.303733997477950624e+01 -3.228445695176216645e+01 -2.316486819937089692e+01
-2.811100000000000065e+01 3.963999999999999773e+02 -2.758159340999999998e+01 -3.302533997477950578e+01 -3.227245695176216600e+01 -2.315286819937089646e+01
